n	tiempo
0	5e-06
1000	5.4e-05
2000	0.000121
3000	0.00015
4000	0.000199
5000	0.000243
6000	0.000282
7000	0.000333
8000	0.00039
9000	0.000453
10000	0.000492
11000	0.000537
12000	0.000585
13000	0.000629
14000	0.000679
15000	0.00073
16000	0.000806
17000	0.0008
18000	0.000864
19000	0.000909
20000	0.000972
21000	0.001004
22000	0.001056
23000	0.001125
24000	0.001157
25000	0.001199
26000	0.001268
27000	0.001305
28000	0.001343
29000	0.001403
